epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
61,8258.34,1.46176,0.53273,0.00366,0.95531,0.93964,0.97268,0.62157,1.33263,0.42607,0.00471,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
62,8384.79,1.45626,0.53188,0.00368,0.95656,0.9369,0.97255,0.62199,1.33212,0.42623,0.00471,0.00735375,0.00245125,0.00735375,0.00245125,0.00735375,0.00245125,0.00735375,0.00245125
63,8518.83,1.4523,0.53164,0.00364,0.95423,0.94023,0.97246,0.62197,1.33183,0.42527,0.0047,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275
64,8647.44,1.4602,0.53193,0.00364,0.95314,0.94033,0.97261,0.62277,1.33032,0.42538,0.0047,0.00661125,0.00220375,0.00661125,0.00220375,0.00661125,0.00220375,0.00661125,0.00220375
65,8779.19,1.45267,0.52776,0.00361,0.95533,0.94002,0.97241,0.62246,1.33259,0.42459,0.0047,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
66,8902.82,1.44633,0.52561,0.00361,0.95476,0.93995,0.97293,0.62296,1.32861,0.42318,0.00469,0.00586875,0.00195625,0.00586875,0.00195625,0.00586875,0.00195625,0.00586875,0.00195625
67,9025.73,1.4337,0.52696,0.00363,0.95354,0.94127,0.97301,0.62326,1.32738,0.42145,0.00469,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325
68,9148.55,1.44305,0.52742,0.00361,0.95505,0.93995,0.97284,0.62366,1.3282,0.42065,0.00469,0.00512625,0.00170875,0.00512625,0.00170875,0.00512625,0.00170875,0.00512625,0.00170875
69,9272.94,1.4356,0.52002,0.00361,0.95419,0.94155,0.97334,0.62422,1.32835,0.4203,0.00469,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
70,9398.16,1.43017,0.51965,0.0036,0.95494,0.94189,0.97346,0.62446,1.32712,0.41984,0.00468,0.00438375,0.00146125,0.00438375,0.00146125,0.00438375,0.00146125,0.00438375,0.00146125
71,9521.61,1.35226,0.45497,0.00392,0.95602,0.93936,0.97308,0.62412,1.32962,0.4204,0.00469,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375
72,9642.75,1.34605,0.45252,0.00389,0.95591,0.93968,0.973,0.62373,1.3303,0.42047,0.0047,0.00364125,0.00121375,0.00364125,0.00121375,0.00364125,0.00121375,0.00364125,0.00121375
73,9764.27,1.33861,0.44893,0.00388,0.95757,0.93812,0.97315,0.62378,1.33053,0.41858,0.0047,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
74,9889.69,1.3391,0.44922,0.00383,0.9588,0.93778,0.97328,0.62382,1.33047,0.41858,0.0047,0.00289875,0.00096625,0.00289875,0.00096625,0.00289875,0.00096625,0.00289875,0.00096625
75,10015.5,1.33715,0.44758,0.00383,0.95922,0.93887,0.97347,0.62446,1.32888,0.41819,0.00469,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425
76,10138.3,1.3323,0.44468,0.00382,0.95751,0.93996,0.97336,0.62464,1.32828,0.41779,0.00469,0.00215625,0.00071875,0.00215625,0.00071875,0.00215625,0.00071875,0.00215625,0.00071875
77,10260.9,1.32306,0.44281,0.00381,0.9577,0.9403,0.97349,0.62525,1.32706,0.41627,0.00469,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
78,10386.4,1.32581,0.44287,0.00377,0.95964,0.93975,0.97369,0.62594,1.32619,0.41473,0.00468,0.00141375,0.00047125,0.00141375,0.00047125,0.00141375,0.00047125,0.00141375,0.00047125
79,10515.3,1.32245,0.44282,0.00378,0.95911,0.94015,0.97369,0.62563,1.32631,0.41353,0.00469,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475
80,10643.6,1.31838,0.43951,0.00377,0.95934,0.94007,0.97368,0.62601,1.32583,0.4147,0.00468,0.00067125,0.00022375,0.00067125,0.00022375,0.00067125,0.00022375,0.00067125,0.00022375
